תאריך ביצוע,"שם ני""ע",פעולה,כמות ביצוע,שער ביצוע,מטבע,עמלות ודמי ניהול,תמורה נטו לפני מס,רווח/הפסד,מס שנוכה/הוחזר בארץ,"מס חו""ל בשקלים"
14/01/25,טאואר,קניה,159.0,18600.0,"ש""ח",-29.57,-29604.0,0.0,0,0.0
16/01/25,0,עמלת דמי-נהול:תקופתי-חיוב,0.0,0.0,"ש""ח",-1.06,-1.06,-1.06,-0.27,0.0
17/01/25,אלביט מערכות,קניה,46.0,105730.0,"ש""ח",-48.64,-48684.0,0.0,0,0.0
27/01/25,פועלים,קניה,1088.0,4593.0,"ש""ח",-49.97,-50022.0,0.0,0,0.0
27/01/25,טאואר,מכירה,-240.0,19370.0,"ש""ח",-48.08,46440.0,1947.0,486.87,0.0
27/01/25,דיסקונט       א,קניה,1692.0,2615.0,"ש""ח",-44.25,-44290.0,0.0,0,0.0
28/01/25,טאואר,קניה,284.0,18340.0,"ש""ח",-52.09,-52138.0,0.0,0,0.0
28/01/25,טאואר,מכירה,-268.0,17900.0,"ש""ח",-48.65,47923.0,-1736.0,-433.96,0.0
03/02/25,VERIZON COMMUNICATI,דיבידנד,0.0,0.0,דולר,0.0,611.29,611.29,0,152.8
03/02/25,אלביט מערכות,מכירה,-46.0,108590.0,"ש""ח",-51.37,49900.0,1216.0,303.9,0.0
04/02/25,דיסקונט       א,מכירה,-1692.0,2591.0,"ש""ח",-44.42,43795.0,-494.75,-123.69,0.0
04/02/25,פועלים,מכירה,-1088.0,4553.0,"ש""ח",-50.2,49486.0,-535.37,-133.84,0.0
05/02/25,קסם IND CHIN IN,קניה,84402.0,58.46,"ש""ח",-49.34,-49391.0,0.0,0,0.0
05/02/25,קסם BNK TOP10ממ,קניה,27759.0,178.16,"ש""ח",-49.46,-49505.0,0.0,0,0.0
05/02/25,אלביט מערכות,קניה,46.0,108060.0,"ש""ח",-49.71,-49757.0,0.0,0,0.0
05/02/25,אלביט מערכות,קניה,46.0,108160.0,"ש""ח",-49.75,-49803.0,0.0,0,0.0
06/02/25,קסם תלגוב שקל+5,קניה,37155.0,135.81,"ש""ח",-50.46,-50511.0,0.0,0,0.0
19/02/25,טאואר,מכירה,-100.0,16960.0,"ש""ח",-26.86,16933.0,-1425.0,-356.3,0.0
19/02/25,קסם תלגוב שקל+5,מכירה,-37155.0,135.99,"ש""ח",-51.62,50475.0,-35.21,-8.8,0.0
19/02/25,אלביט מערכות,מכירה,-50.0,105000.0,"ש""ח",-53.73,52446.0,-1642.0,-410.44,0.0
19/02/25,קסם DAX 30,קניה,33575.0,150.08,"ש""ח",-50.39,-50440.0,0.0,0,0.0
19/02/25,קסם IND CHIN IN,קניה,74828.0,64.92,"ש""ח",-48.58,-48627.0,0.0,0,0.0
20/02/25,תכלית DAX,קניה,28578.0,170.76,"ש""ח",-48.8,-48849.0,0.0,0,0.0
03/03/25,ISHARES MSCI GER,קניה,535.0,37.34,דולר,-124.49,-71996.0,0.0,0,0.0
04/03/25,JOHNSON&JOHNSON,דיבידנד,0.0,0.0,דולר,0.0,313.43,313.43,0,78.35
05/03/25,NVIDIA CORP,קניה,85.0,116.53,דולר,-88.53,-35955.0,0.0,0,0.0
06/03/25,JOHNSON&JOHNSON,מכירה,-70.0,164.48,דולר,-99.43,41488.0,4285.0,1071,0.0
06/03/25,ISHARES MSCI GER,מכירה,-535.0,38.98,דולר,-132.33,75184.0,2908.0,726.91,0.0
06/03/25,אלביט מערכות,מכירה,-42.0,124790.0,"ש""ח",-54.94,52357.0,6628.0,1657,0.0
07/03/25,דיסקונט       א,קניה,1000.0,2900.0,"ש""ח",-29.0,-29029.0,0.0,0,0.0
11/03/25,קסם BNK TOP10ממ,מכירה,-27759.0,151.31,"ש""ח",-44.38,41958.0,-7547.0,-1887,0.0
11/03/25,דיסקונט       א,קניה,673.0,2951.0,"ש""ח",-26.0,-19886.0,0.0,0,0.0
12/03/25,קסם IND CHIN IN,מכירה,-159230.0,67.92,"ש""ח",-113.27,108036.0,9740.0,2435,0.0
12/03/25,תכלית DAX,מכירה,-28578.0,183.06,"ש""ח",-54.05,52261.0,3412.0,853.06,0.0
13/03/25,קסם DAX 30,מכירה,-33575.0,159.48,"ש""ח",-55.51,53490.0,3050.0,762.54,0.0
17/03/25,ARK INNOVAT ETF,קניה,198.0,50.02,דולר,-95.75,-36374.0,0.0,0,0.0
17/03/25,CELLEBRITE DI LT,קניה,535.0,18.67,דולר,-102.3,-36690.0,0.0,0,0.0
17/03/25,דיסקונט       א,מכירה,-800.0,2803.0,"ש""ח",-26.31,22398.0,-825.51,-206.38,0.0
19/03/25,פועלים,קניה,1922.0,5161.0,"ש""ח",-99.19,-99294.0,0.0,0,0.0
20/03/25,CHEVRON CORP,קניה,60.0,164.58,דולר,-98.38,-36349.0,0.0,0,0.0
20/03/25,VERIZON COMMUNICATI,מכירה,-250.0,43.75,דולר,-110.61,40325.0,3134.0,783.38,0.0
20/03/25,INTEL CORP,מכירה,-736.0,23.84,דולר,-128.43,64740.0,9838.0,2460,0.0
20/03/25,ISHARES MSCI JPN,קניה,70.0,71.28,דולר,-91.11,-18408.0,0.0,0,0.0
20/03/25,ROBLOX CORP - A,קניה,252.0,59.05,דולר,-95.77,-54722.0,0.0,0,0.0
20/03/25,קסם STOX600נטרל,קניה,23673.0,212.95,"ש""ח",-50.41,-50462.0,0.0,0,0.0
20/03/25,קסם IND CHIN IN,קניה,72160.0,68.57,"ש""ח",-49.48,-49530.0,0.0,0,0.0
21/03/25,MTF מח STOXX600,קניה,55109.0,180.3,"ש""ח",-99.36,-99461.0,0.0,0,0.0
25/03/25,SPDR-COMM SERV,קניה,50.0,99.58,דולר,-91.86,-18345.0,0.0,0,0.0
25/03/25,תכלית DAX,קניה,26534.0,186.63,"ש""ח",-49.52,-49570.0,0.0,0,0.0
02/04/25,NVIDIA CORP,דיבידנד,0.0,0.0,דולר,0.0,3.14,3.14,0,0.77
07/04/25,דיסקונט       א,דיבידנד,0.0,2525.0,"ש""ח",0.0,223.16,223.16,55.79,0.0
08/04/25,קסם IND CHIN IN,מכירה,-72160.0,54.73,"ש""ח",-39.95,39453.0,-10076.0,-2519,0.0
10/04/25,פועלים,מכירה,-850.0,4918.0,"ש""ח",-42.42,41761.0,-2152.0,-537.95,0.0
15/04/25,0,עמלת דמי-נהול:תקופתי-חיוב,0.0,0.0,"ש""ח",-21.95,-21.95,-21.95,-5.49,0.0
15/04/25,פועלים,מכירה,-1072.0,5169.0,"ש""ח",-56.69,55355.0,-26.25,-6.56,0.0
21/04/25,דיסקונט       א,מכירה,-873.0,2715.0,"ש""ח",-26.78,23675.0,-2017.0,-504.21,0.0
23/04/25,MTF מח STOXX600,מכירה,-25000.0,177.52,"ש""ח",-45.99,44334.0,-786.07,-196.52,0.0
23/04/25,תכלית DAX,מכירה,-13000.0,185.86,"ש""ח",-26.88,24135.0,-151.24,-37.81,0.0
23/04/25,קסםאקט כספ אירו,קניה,45834.0,110.53,"ש""ח",0.0,-50660.0,0.0,0,0.0
23/04/25,הרל.כספית יורו,קניה,45335.0,111.77,"ש""ח",0.0,-50671.0,0.0,0,0.0
23/04/25,לאומי,קניה,1579.0,4973.0,"ש""ח",-78.52,-78602.0,0.0,0,0.0
24/04/25,ROBLOX CORP - A,מכירה,-252.0,63.9,דולר,-99.46,58062.0,2952.0,738.07,0.0
24/04/25,CELLEBRITE DI LT,מכירה,-535.0,19.39,דולר,-108.31,37361.0,650.51,162.63,0.0
24/04/25,לאומי,מכירה,-1579.0,5145.0,"ש""ח",-81.37,81158.0,2556.0,639,0.0
25/04/25,לאומי,קניה,972.0,5123.0,"ש""ח",-49.8,-49845.0,0.0,0,0.0
25/04/25,לאומי,מכירה,-119.0,5095.0,"ש""ח",-6.06,6057.0,-45.48,-11.37,0.0
25/04/25,לאומי,מכירה,-853.0,5094.0,"ש""ח",-43.45,43408.0,-334.52,-83.63,0.0
28/04/25,PAYPAL HOLDINGS,מכירה,-112.0,65.43,דולר,-93.06,26457.0,-9900.0,-2475,0.0
28/04/25,ARK INNOVAT ETF,מכירה,-198.0,51.59,דולר,-97.92,36910.0,516.55,129.14,0.0
28/04/25,SPDR-COMM SERV,מכירה,-50.0,94.66,דולר,-98.32,17049.0,-1080.0,-270.09,0.0
30/04/25,תכלית DAX,מכירה,-13534.0,190.63,"ש""ח",-27.23,25773.0,364.32,91.08,0.0
13/05/25,הרל.כספית יורו,מכירה,-45335.0,104.24,"ש""ח",0.0,47257.0,-874.25,-218.56,0.0
13/05/25,פועלים,קניה,886.0,5640.0,"ש""ח",-49.97,-50020.0,0.0,0,0.0
13/05/25,לאומי,קניה,1835.0,5452.0,"ש""ח",-100.04,-100144.0,0.0,0,0.0
13/05/25,לאומי,קניה,918.0,5443.0,"ש""ח",-49.97,-50017.0,0.0,0,0.0
13/05/25,פועלים,קניה,889.0,5618.0,"ש""ח",-49.94,-49994.0,0.0,0,0.0
16/05/25,הראל אנד קמע יש,קניה,68162.0,147.83,"ש""ח",-100.76,-100865.0,0.0,0,0.0
21/05/25,INTEL CORP,קניה,696.0,21.56,דולר,-106.39,-53357.0,0.0,0,0.0
21/05/25,ISHARES SILVER TRUS,קניה,329.0,30.38,דולר,-92.62,-35565.0,0.0,0,0.0
21/05/25,ABRDN PLATINUM E,קניה,101.0,98.59,דולר,-95.64,-35435.0,0.0,0,0.0
21/05/25,תכלית SP USADממ,קניה,26747.0,188.61,"ש""ח",-50.45,-50498.0,0.0,0,0.0
21/05/25,קסם SP INDST CH,קניה,26216.0,192.98,"ש""ח",-50.59,-50642.0,0.0,0,0.0
21/05/25,פועלים,מכירה,-1775.0,5703.0,"ש""ח",-102.56,101126.0,115.19,28.8,0.0
21/05/25,לאומי,מכירה,-2753.0,5475.0,"ש""ח",-152.72,150574.0,0.0,0,0.0
22/05/25,אילים מני בנקים,קניה,34608.0,287.05,"ש""ח",0.0,-99342.0,0.0,0,0.0
22/05/25,איביאי אנד אשחצ,קניה,32132.0,154.13,"ש""ח",-49.53,-49575.0,0.0,0,0.0
22/05/25,איביאי רכב חשמל,קניה,94322.0,52.9,"ש""ח",-49.9,-49946.0,0.0,0,0.0
29/05/25,אילים מני בנקים,מכירה,-34608.0,294.83,"ש""ח",-1.18,102034.0,2691.0,672.83,0.0
29/05/25,הראל תא 90 נקב$,קניה,26687.0,131.73,דולר,-123.44,-123587.0,0.0,0,0.0
05/06/25,איביאי רכב חשמל,מכירה,-94322.0,48.07,"ש""ח",-46.39,45294.0,-4652.0,-1163,0.0
10/06/25,CHEVRON CORP,דיבידנד,0.0,0.0,דולר,0.0,358.58,358.58,0,89.64
10/06/25,NVIDIA CORP,מכירה,-85.0,143.12,דולר,-92.12,42523.0,6627.0,1657,0.0
10/06/25,ISHARES MSCI CAN,קניה,441.0,45.36,דולר,-120.54,-70034.0,0.0,0,0.0
10/06/25,ISHARES SILVER TRUS,מכירה,-329.0,33.13,דולר,-99.69,38082.0,2307.0,576.7,0.0
10/06/25,ABRDN PLATINUM E,מכירה,-101.0,110.51,דולר,-96.11,39003.0,3358.0,839.46,0.0
